id,name,lat,lon,type
1,Tokyo,35.6762,139.6503,city
2,Osaka,34.6937,135.5023,city
5,Nagoya,35.1815,136.9066,city
7,Yokohama,35.4437,139.638,city
9,Kyoto,35.0116,135.7681,city
10,Kobe,34.6901,135.1956,city
12,Fukuoka,33.5904,130.4017,city
14,Sapporo,43.0642,141.3469,city
15,Okinawa,26.2124,127.6792,city
室蘭,室蘭,42.34796276,140.9597655,port
稚内,稚内,45.4145545,141.7068478,port
苫小牧,苫小牧,42.59666667,141.7219444,port
函館,函館,41.79083333,140.6938889,port
小樽,小樽,43.20027778,141.0186111,port
釧路,釧路,42.98454628,144.323357,port
留萌,留萌,43.96444444,141.6288889,port
根室,根室,43.34518677,145.5753503,port
網走,網走,44.02871738,144.286105,port
十勝,十勝,42.29555556,143.3344444,port
石狩湾新,石狩湾新,43.21111111,141.2697222,port
紋別,紋別,44.36057609,143.3685447,port
青森,青森,40.86011953,140.7785378,port
八戸,八戸,40.56128971,141.5201871,port
尻屋岬,尻屋岬,41.41252363,141.4373133,port
むつ小川原,むつ小川原,40.95668792,141.4159767,port
宮古,宮古,39.62793702,141.9761549,port
大船渡,大船渡,39.01910089,141.7332051,port
釜石,釜石,39.25779671,141.9206635,port
久慈,久慈,40.20010296,141.8244661,port
仙台塩釜,仙台塩釜,38.32253852,141.0908723,port
秋田,秋田,39.7622777,140.0269037,port
船川,船川,39.87207477,139.8676765,port
能代,能代,40.21057847,139.98387,port
酒田,酒田,38.93565108,139.8046782,port
小名浜,小名浜,36.92066586,140.8905475,port
相馬,相馬,37.85804819,140.9654618,port
鹿島,鹿島,35.94682024,140.7146694,port
茨城,茨城,36.41722131,140.6297223,port
千葉,千葉,35.57306633,140.003552,port
木更津,木更津,35.3850851,139.8281385,port
館山,館山,34.99770982,139.8415656,port
東京,東京,35.57386488,139.8049179,port
横浜,横浜,35.41590508,139.6934556,port
川崎,川崎,35.48709552,139.7742661,port
横須賀,横須賀,35.2864336,139.7044442,port
新潟,新潟,37.99014077,139.1527613,port
両津,両津,38.08933987,138.4576198,port
直江津,直江津,37.20230668,138.2541037,port
柏崎,柏崎,37.37273406,138.5298557,port
姫川,姫川,37.04802352,137.8459441,port
小木,小木,37.81489842,138.2909479,port
伏木富山,伏木富山,36.78893777,137.1414449,port
七尾,七尾,37.09103044,136.9912097,port
金沢,金沢,36.61432138,136.5834828,port
敦賀,敦賀,35.68990979,136.0584975,port
福井,福井,36.19702322,136.1056129,port
内浦,内浦,35.53229295,135.4983519,port
清水,清水,35.02519562,138.5108303,port
田子の浦,田子の浦,35.13989188,138.6943556,port
沼津,沼津,35.07779367,138.8521776,port
大井川,大井川,34.78045535,138.3049567,port
御前崎,御前崎,34.63687739,138.2240058,port
名古屋,名古屋,35.01587302,136.8358724,port
衣浦,衣浦,34.83978651,136.9457511,port
三河,三河,34.76333213,137.2577868,port
四日市,四日市,34.95287356,136.6866338,port
尾鷲,尾鷲,34.07451769,136.2236432,port
津松阪,津松阪,34.67424834,136.5637143,port
舞鶴,舞鶴,35.49455258,135.3590591,port
宮津,宮津,35.56659005,135.2002093,port
大阪,大阪,34.63222813,135.3878625,port
堺泉北,堺泉北,34.56871234,135.3746449,port
阪南,阪南,34.48421486,135.3566375,port
泉州,泉州,34.42981737,135.2563366,port
神戸,神戸,34.67284011,135.2426054,port
姫路,姫路,34.75332431,134.6532854,port
尼崎西宮芦屋,尼崎西宮芦屋,34.68339109,135.3465858,port
東播磨,東播磨,34.7049187,134.8164361,port
明石,明石,34.63972153,134.9901477,port
赤穂,赤穂,34.72578813,134.3869133,port
和歌山下津,和歌山下津,34.19189456,135.1116259,port
日高,日高,33.86356214,135.1470985,port
新宮,新宮,33.67025605,135.9825253,port
鳥取,鳥取,35.54003437,134.1846582,port
境,境,35.53636026,133.2671537,port
浜田,浜田,34.88732905,132.0418719,port
西郷,西郷,36.21002104,133.3425981,port
三隅,三隅,34.80072976,131.9359159,port
宇野,宇野,34.48426522,133.950314,port
水島,水島,34.47140325,133.6960322,port
岡山,岡山,34.60153138,133.9989663,port
東備,東備,34.71580729,134.2699606,port
福山,福山,34.39642298,133.4206928,port
尾道糸崎,尾道糸崎,34.39849009,133.1860732,port
広島,広島,34.33642353,132.418279,port
呉,呉,34.2360258,132.5378793,port
竹原,竹原,34.32374963,132.9118997,port
鹿川,鹿川,34.1824745,132.4412094,port
大竹,大竹,34.23437496,132.2387339,port
下関,下関,33.97474154,130.9751425,port
徳山下松,徳山下松,34.00394962,131.7799859,port
岩国,岩国,34.12483458,132.2632154,port
三田尻中関,三田尻中関,33.98652605,131.5467861,port
宇部,宇部,33.91412052,131.2271106,port
小野田,小野田,33.949864,131.1452404,port
柳井,柳井,33.94820165,132.1326548,port
平生,平生,33.90582776,132.0480731,port
徳島小松島,徳島小松島,34.0281863,134.6069068,port
橘,橘,33.86250646,134.668926,port
富岡,富岡,33.9220753,134.7113406,port
高松,高松,34.36603793,134.0354014,port
坂出,坂出,34.34943899,133.862609,port
丸亀,丸亀,34.3011082,133.7753295,port
多度津,多度津,34.27718621,133.741527,port
詫間,詫間,34.24616003,133.6648157,port
風戸,風戸,34.47958582,133.9742539,port
松山,松山,33.86331666,132.6988562,port
宇和島,宇和島,33.22919365,132.5480499,port
新居浜,新居浜,33.99437855,133.3098657,port
今治,今治,34.07000258,133.0184425,port
東予,東予,33.97309913,133.143377,port
三島川之江,三島川之江,34.00657591,133.5417776,port
長浜,長浜,33.62493078,132.4910328,port
高知,高知,33.51338994,133.5606096,port
須崎,須崎,33.38318194,133.2857517,port
宿毛湾,宿毛湾,32.90004108,132.6927551,port
北九州,北九州,33.9152654,130.8744407,port
博多,博多,33.62686124,130.360713,port
苅田,苅田,33.80198573,131.0304324,port
三池,三池,33.0057551,130.3873799,port
唐津,唐津,33.47050476,129.9722978,port
伊万里,伊万里,33.32097119,129.826366,port
長崎,長崎,32.71355457,129.8177634,port
厳原,厳原,34.19187852,129.2937591,port
郷ノ浦,郷ノ浦,33.74268713,129.6727316,port
福江,福江,32.6973982,128.8548018,port
佐世保,佐世保,33.12308428,129.7216022,port
島原,島原,32.7976589,130.3789781,port
松島,松島,32.94132344,129.6182864,port
松浦,松浦,33.357149,129.6804181,port
三角,三角,32.60120279,130.4616498,port
八代,八代,32.53740369,130.5372527,port
水俣,水俣,32.19803403,130.3712699,port
熊本,熊本,32.76045731,130.5707233,port
大分,大分,33.27375195,131.7130323,port
津久見,津久見,33.08808136,131.872343,port
別府,別府,33.30770444,131.5073641,port
佐賀関,佐賀関,33.25243175,131.8682817,port
佐伯,佐伯,32.97788459,131.9147295,port
中津,中津,33.62691605,131.2354847,port
細島,細島,32.44744127,131.6716781,port
油津,油津,31.56834018,131.4037409,port
宮崎,宮崎,31.91075758,131.4762479,port
鹿児島,鹿児島,31.52659788,130.5539534,port
西之表,西之表,30.73462903,130.9840408,port
名瀬,名瀬,28.40055564,129.5021815,port
米之津,米之津,32.13115312,130.3417106,port
川内,川内,31.85992033,130.1883344,port
加治木,加治木,31.72739495,130.6650958,port
志布志,志布志,31.45808596,131.1020972,port
喜入,喜入,31.39491507,130.5416376,port
那覇,那覇,26.24925348,127.6617292,port
運天,運天,26.69072194,128.0101828,port
平良,平良,24.82247627,125.2755657,port
石垣,石垣,24.34076133,124.1341533,port
本部,本部,26.62479761,127.8848111,port
金武湾,金武湾,26.40487348,127.9178755,port
中城湾,中城湾,26.237361,127.864707,port
白老,白老,42.51796738,141.3201974,port
吉津,吉津,34.26415495,136.5140057,port
鵜殿,鵜殿,33.73224323,136.0218109,port
笠岡,笠岡,34.44778708,133.5276526,port
宮之浦,宮之浦,30.42898059,130.5765511,port
常滑,常滑,34.87166209,136.8315588,port
相生,相生,34.77643446,134.4650174,port
安芸津,安芸津,34.31047077,132.8168426,port
吉悪,吉悪,34.20976519,132.682348,port
宇島,宇島,33.6384786,131.1228352,port
肥前大島,肥前大島,33.03266151,129.6259208,port
